R - s
L - n
U - i
D - e
F - space
R' - r
L' - o
U' - t
B' - a
B R - =
B L - 4
B U - C
B B - A
B D - S
B R' - 6
B L' - 3
B U' - T
B B' - -
B D' - "
B F' - k
D' R - v
D' L - w
D' U - 0
D' B - ,
D' D - y
D' F - f
F' L - enter
F' U - m
F' B - c
F' D - d
F' F - l
B F L - َ
B F B - }
B F D - Y
B F F - #
D' R' - 9
D' L' - 2
D' U' - .
D' B' - b
D' D' - 1
D' F' - p
F' R' - |
F' L' - g
F' U' - u
F' D' - h
B F R' - _
B F L' -  
B F U' - {
B F B' - /
B F F' - q
F' R R - [
F' R L - j
F' R U - V
F' R B - —
F' R D - x
F' R F - –
B F R L - د
B F R B - “
B F R D - ”
B F R F - ف
B F U U - ك
B F U D - ب
B F U F - ä
F' R R' - ]
F' R U' - z
F' R B' - K
F' R F' - U
F' B' R - O
F' B' L - '
F' B' U - G
F' B' B - tab
F' B' D - H
F' B' F - D
F' F' R - N
F' F' L - E
F' F' U - P
F' F' B - 7
F' F' D - (
F' F' F - 5
B F R R' - ق
B F R L' - ~
B F R B' - а
B F R F' - أ
B F U R' - ع
B F U L' - ō
B F U U' - ت
B F U D' - <
B F D' R - è
B F D' L - ه
B F D' U - •
B F D' D - ّ
B F D' F - ö
F' B' R' - J
F' B' L' - W
F' B' U' - :
F' B' B' - F
F' B' F' - R
F' F' R' - L
F' F' L' - B
F' F' U' - I
F' F' B' - M
F' F' D' - )
F' F' F' - 8
B F R R L - В
B F R R B - Ž
B F R R F - ę
B F R U R - ͡
B F R U L - œ
B F R U U - 🐑
B F R U B - Å
B F R U F - 𝄆
B F U R R - €
B F U R U - С
B F U R B - ʃ
B F U R D - ρ
B F U R F - ι
B F U L D - ì
B F U L F - ظ
B F U B D - ε
B F U B F - ч
B F D' R' - ر
B F D' B' - >
B F D' D' - ó
B F D' F' - í
F' R L' R - ü
F' R L' L - $
F' R L' U - *
F' R L' B - ي
F' R L' D - و
F' R L' F - \
F' R D' R - م
F' R D' B - ·
F' R D' D - ل
B F R R R' - ц
B F R R L' - า
